CODE,DESCRIPTION
RECTYPE,"""File type identifier"""
SRVY_YR,"""Year of National Health Interview Survey"""
HHX,"""Household Number"""
INTV_QRT,"""Interview Quarter"""
INTV_MON,"""Assignment/Interview Month"""
FMX,"""Family Number"""
FPX,"""Person Number (Within family)"""
WTIA_SA,"""Weight - Interim Annual"""
WTFA_SA,"""Weight - Final Annual"""
REGION,"""Region"""
PSTRAT,"""Pseudo-stratum for public-use file variance estimation"""
PPSU,"""Pseudo-PSU for public-use file variance estimation"""
SEX,"""Sex"""
HISPAN_I,"""Hispanic subgroup detail"""
RACERPI2,"""OMB groups w/multiple race"""
MRACRPI2,"""Race coded to single/multiple race group"""
MRACBPI2,"""Race coded to single/multiple race group"""
AGE_P,"""Age"""
R_MARITL,"""Marital Status"""
PAR_STAT,"""Sample adult is parent to 1+ minor child(ren) in the family"""
PROXYSA,"""Sample adult status"""
PROX1,"""Knowledgeable proxy for Sample Adult available"""
PROX2,"""Relationship of SA proxy to SA"""
LATEINTA,"""Late Sample Adult interviews"""
FDRN_FLG,"""Disability Questions flag"""
DOINGLWA,"""Corrected employment status last week"""
WHYNOWKA,"""Main reason for not working last week"""
EVERWRK,"""Ever worked"""
INDSTRN1,"""Detailed industry classification based on 2012 Census codes"""
INDSTRN2,"""Simple industry classification based on 2012 Census codes"""
OCCUPN1,"""Detailed occupation classification based on 2010 Census Codes"""
OCCUPN2,"""Simple occupation classification based on 2010 Census codes"""
SUPERVIS,"""Supervise other employees as part of job"""
WRKCATA,"""Class of worker"""
BUSINC1A,"""Current job an incorporated business"""
LOCALL1B,"""Number of employees at work"""
YRSWRKPA,"""Number of years on the job"""
WRKLONGH,"""Current/most recent job also longest held job"""
HOURPDA,"""Paid by the hour at current or most recent job"""
PDSICKA,"""Paid sick leave at current or most recent job"""
ONEJOB,"""Have more than one job"""
WRKLYR4,"""Work status: last week, past 12 months"""
HYPEV,"""Ever been told you have hypertension"""
HYPDIFV,"""Ever had hypertension on 2+ visits"""
HYPYR1,"""Had hypertension, past 12 months"""
HYBPCKNO,"""Last time blood pressure checked by health professional (# units)"""
HYBPCKTP,"""Last time blood pressure checked by health professional (time units)"""
HYBPLEV,"""Results of last blood pressure check"""
HYPMDEV2,"""Ever prescribed medicine for high blood pressure"""
HYPMED2,"""Now taking prescribed medicine for high blood pressure"""
CHLEV,"""Ever told you had high cholesterol"""
CHLYR,"""Had high cholesterol, past 12 months"""
CLCKNO,"""How long since blood cholesterol checked by health professional (# units)"""
CLCKTP,"""How long since blood cholesterol checked by health professional (time units)"""
CHLMDEV2,"""Ever prescribed medicine to lower cholesterol"""
CHLMDNW2,"""Now taking prescribed medicine to lower cholesterol"""
CHDEV,"""Ever been told you had coronary heart disease"""
ANGEV,"""Ever been told you had angina pectoris"""
MIEV,"""Ever been told you had a heart attack"""
HRTEV,"""Ever been told you had a heart condition/disease"""
STREV,"""Ever been told you had a stroke"""
EPHEV,"""Ever been told you had emphysema"""
JAWP,"""Jaw, neck, or back pain a symptom of heart attack"""
WEA,"""Feeling weak, lightheaded, or faint a symptom of heart attack"""
CHE,"""Chest pain or discomfort a symptom of heart attack"""
ARM,"""Pain or discomfort in arms or shoulder a symptom of heart attack"""
BRTH,"""Shortness of breath a symptom of heart attack"""
AHADO,"""What is best thing to do if someone is having a heart attack"""
FACE,"""Sudden numbness of face/arm/leg a symptom of having stroke"""
SPEAKING,"""Sudden confusion or trouble speaking a symptom of having stroke"""
EYE,"""Sudden trouble seeing in one/both eyes a symptom of having stroke"""
WALKING,"""Sudden trouble walking/dizziness/loss of balance  symptom of having stroke"""
HEADACHE,"""Sudden severe headache with no known cause a symptom of having stroke"""
ASTDO,"""What is best thing to do if someone is having a stroke"""
COPDEV,"""Ever been told you had COPD"""
ASPMEDEV,"""Ever been told to take low-dose aspirin"""
ASPMEDAD,"""Following low-dose aspirin advice"""
ASPMDMED,"""Advised to stop taking low-dose aspirin"""
ASPONOWN,"""Taking low-dose aspirin on own"""
AASMEV,"""Ever been told you had asthma"""
AASSTILL,"""Still have asthma"""
AASMYR,"""Had an asthma episode/attack past 12 m"""
AASERYR1,"""Had visit to ER due to asthma past 12 m"""
ULCEV,"""Ever been told you have an ulcer"""
ULCYR,"""Had ulcer in past 12 m"""
CANEV,"""Ever told by a doctor you had cancer"""
CNKIND1,"""What kind of cancer ... Bladder"""
CNKIND2,"""What kind of cancer ... Blood"""
CNKIND3,"""What kind of cancer ... Bone"""
CNKIND4,"""What kind of cancer ... Brain"""
CNKIND5,"""What kind of cancer ... Breast"""
CNKIND6,"""What kind of cancer ... Cervix"""
CNKIND7,"""What kind of cancer ... Colon"""
CNKIND8,"""What kind of cancer ... Esophagus"""
CNKIND9,"""What kind of cancer ... Gallbladder"""
CNKIND10,"""What kind of cancer ... Kidney"""
CNKIND11,"""What kind of cancer ... larynx-windpipe"""
CNKIND12,"""What kind of cancer ... Leukemia"""
CNKIND13,"""What kind of cancer ... Liver"""
CNKIND14,"""What kind of cancer ... Lung"""
CNKIND15,"""What kind of cancer ... Lymphoma"""
CNKIND16,"""What kind of cancer ... Melanoma"""
CNKIND17,"""What kind of cancer ... mouth/tongue/lip"""
CNKIND18,"""What kind of cancer ... Ovary"""
CNKIND19,"""What kind of cancer ... Pancreas"""
CNKIND20,"""What kind of cancer ... Prostate"""
CNKIND21,"""What kind of cancer ... Rectum"""
CNKIND22,"""What kind of cancer ... skin (non-melanoma)"""
CNKIND23,"""What kind of cancer ... skin (DK kind)"""
CNKIND24,"""What kind of cancer ... soft tissue (muscle or fat)"""
CNKIND25,"""What kind of cancer ... Stomach"""
CNKIND26,"""What kind of cancer ... Testis"""
CNKIND27,"""What kind of cancer ... throat - pharynx"""
CNKIND28,"""What kind of cancer ... Thyroid"""
CNKIND29,"""What kind of cancer ... Uterus"""
CNKIND30,"""What kind of cancer ... Other"""
CNKIND31,"""What kind of cancer ... more than 3 kinds"""
CANAGE1,"""Age first diagnosed w/bladder cancer"""
CANAGE2,"""Age first diagnosed w/blood cancer"""
CANAGE3,"""Age first diagnosed w/bone cancer"""
CANAGE4,"""Age first diagnosed w/brain cancer"""
CANAGE5,"""Age first diagnosed w/breast cancer"""
CANAGE6,"""Age first diagnosed w/cervical cancer"""
CANAGE7,"""Age first diagnosed w/colon cancer"""
CANAGE8,"""Age first diagnosed w/esophageal cancer"""
CANAGE9,"""Age first diagnosed w/gallbladder cancer"""
CANAGE10,"""Age first diagnosed w/kidney cancer"""
CANAGE11,"""Age first diagnosed w/larynx-windpipe cancer"""
CANAGE12,"""Age first diagnosed w/leukemia"""
CANAGE13,"""Age first diagnosed w/liver cancer"""
CANAGE14,"""Age first diagnosed w/lung cancer"""
CANAGE15,"""Age first diagnosed w/lymphoma"""
CANAGE16,"""Age first diagnosed w/melanoma"""
CANAGE17,"""Age first diagnosed w/mouth/tongue/lip cancer"""
CANAGE18,"""Age first diagnosed w/ovarian cancer"""
CANAGE19,"""Age first diagnosed w/pancreatic cancer"""
CANAGE20,"""Age first diagnosed w/prostate cancer"""
CANAGE21,"""Age first diagnosed w/rectal cancer"""
CANAGE22,"""Age first diagnosed w/skin (non-melanoma) cancer"""
CANAGE23,"""Age first diagnosed w/skin (DK kind) cancer"""
CANAGE24,"""Age first diagnosed w/soft tissue cancer"""
CANAGE25,"""Age first diagnosed w/stomach cancer"""
CANAGE26,"""Age first diagnosed w/testicular cancer"""
CANAGE27,"""Age first diagnosed w/throat/pharynx cancer"""
CANAGE28,"""Age first diagnosed w/thyroid cancer"""
CANAGE29,"""Age first diagnosed w/uterine cancer"""
CANAGE30,"""Age first diagnosed w/other cancer"""
PREGEVER,"""Ever been pregnant"""
DBHVPAY,"""Told to increase physical activity, past 12 m"""
DBHVCLY,"""Told to reduce fat/calories in diet, past 12 m"""
DBHVWLY,"""Told to participate in weight loss program, past 12 m"""
DBHVPAN,"""Currently increasing physical activity"""
DBHVCLN,"""Currently reducing fat/calories in diet"""
DBHVWLN,"""Currently participating in weight loss program"""
DIBREL,"""Blood relative ever had diabetes"""
DIBEV1,"""Ever been told that you have diabetes"""
DIBPRE2,"""Ever had prediabetes or other symptoms"""
DIBTEST,"""Time since last had blood test for high blood sugar/diabetes"""
DIBAGE1,"""Age first diagnosed w/diabetes"""
DIFAGE2,"""Years since first diagnosed w/diabetes"""
DIBTYPE,"""Type of diabetes"""
DIBPILL1,"""NOW taking diabetic pills"""
INSLN1,"""NOW taking insulin"""
DIBINS2,"""Length of time before started insulin after diagnosed w/ diabetes"""
DIBINS3,"""Ever stopped taking insulin for more than 6 m"""
DIBINS4,"""Stopped taking insulin first year after diagnosed w/ diabetes"""
DIBGDM,"""First told you had diabetes during pregnancy"""
DIBBABY,"""Ever had a baby that weighed 9 lbs. or more"""
DIBPRGM,"""Ever participated in year-long program to prevent Type 2 diabetes"""
DIBREFER,"""Ever referred to program to prevent Type 2 diabetes"""
DIBBEGIN,"""Interested in beginning year-long program to prevent Type 2 diabetes"""
EPILEP1,"""Ever told that you have a seizure disorder or epilepsy"""
EPILEP2,"""Currently taking  medicine to control your seizure disorder or epilepsy"""
EPILEP3,"""Number of seizures of any type in past year"""
EPILEP4,"""Seen a neurologist or epilepsy specialist  in past year"""
EPILEP5,"""Did epilepsy or its treatment interfere with normal activities, past 30 days"""
