Beneficiary_Geographic_Level,Beneficiary_Geographic_Description,State_Code,Beneficiary_Geographic_County,Beneficiary_Geographic_Code,Beneficiary_Age_Level,Beneficiary_Demographic_Level,Beneficiary_Demographic_Description,Beneficiary_Multiple_Chronic_Condition_Group,Prevalence,Total_Medicare_Standardized_Per_Capita_Spending,Total_Medicare_Per_Capita_Spending,Hospital_Readmission_Rate,"Emergency_Room_Visits_per_1,000_Beneficiaries"
County,Alabama : Autauga,1,Autauga,1001,All,All,All,0 to 1,0.2746,2210.4664,1986.1032,,206.1495
County,Alabama : Autauga,1,Autauga,1001,All,All,All,2 to 3,0.2795,5779.4177,5124.0744,,411.1187
County,Alabama : Autauga,1,Autauga,1001,All,All,All,4 to 5,0.2477,9715.1652,8746.9833,0.0751,739.7366
County,Alabama : Autauga,1,Autauga,1001,All,All,All,6+,0.1982,29804.7963,26863.0748,0.2564,2244.9177
County,Alabama : Baldwin,1,Baldwin,1003,All,All,All,0 to 1,0.2821,2100.882,1916.7417,,129.1382
County,Alabama : Baldwin,1,Baldwin,1003,All,All,All,2 to 3,0.3072,5657.017,5151.9363,0.0693,320.9799
County,Alabama : Baldwin,1,Baldwin,1003,All,All,All,4 to 5,0.2373,10472.483,9474.2392,0.0969,613.3073
County,Alabama : Baldwin,1,Baldwin,1003,All,All,All,6+,0.1734,25754.3856,23004.7191,0.1997,1635.5744
County,Alabama : Barbour,1,Barbour,1005,All,All,All,0 to 1,0.2463,2129.0116,1984.3717,0.0,349.8513
County,Alabama : Barbour,1,Barbour,1005,All,All,All,2 to 3,0.3046,5238.2223,4797.4047,,513.6218
County,Alabama : Barbour,1,Barbour,1005,All,All,All,4 to 5,0.2485,9978.5588,9080.8998,0.0942,911.5914
County,Alabama : Barbour,1,Barbour,1005,All,All,All,6+,0.2006,29883.6811,27139.0527,0.2367,2309.0024
County,Alabama : Bibb,1,Bibb,1007,All,All,All,0 to 1,0.2511,2224.4532,2099.5627,,305.9034
County,Alabama : Bibb,1,Bibb,1007,All,All,All,2 to 3,0.2633,4470.5846,4079.5422,,457.3379
County,Alabama : Bibb,1,Bibb,1007,All,All,All,4 to 5,0.2619,8215.447,7413.7865,0.128,732.4185
County,Alabama : Bibb,1,Bibb,1007,All,All,All,6+,0.2237,31037.5406,28311.1149,0.2621,1951.8072
County,Alabama : Blount,1,Blount,1009,All,All,All,0 to 1,0.2844,1728.2651,1528.9784,,167.0935
County,Alabama : Blount,1,Blount,1009,All,All,All,2 to 3,0.268,4972.6073,4359.568,0.0873,381.1141
County,Alabama : Blount,1,Blount,1009,All,All,All,4 to 5,0.2414,10570.9206,9672.6906,0.0638,730.7692
County,Alabama : Blount,1,Blount,1009,All,All,All,6+,0.2061,28284.5184,26052.0165,0.2076,1772.9682
County,Alabama : Bullock,1,Bullock,1011,All,All,All,0 to 1,0.2826,1705.4335,1179.7165,,336.5385
County,Alabama : Bullock,1,Bullock,1011,All,All,All,2 to 3,0.2926,5133.978,4526.9205,,495.356
County,Alabama : Bullock,1,Bullock,1011,All,All,All,4 to 5,0.2255,6805.9301,6117.7667,0.0,686.747
County,Alabama : Bullock,1,Bullock,1011,All,All,All,6+,0.1993,30290.873,27361.033,0.2385,2177.2727
County,Alabama : Butler,1,Butler,1013,All,All,All,0 to 1,0.2392,1868.2115,1659.1496,,277.6471
County,Alabama : Butler,1,Butler,1013,All,All,All,2 to 3,0.2921,5961.6755,5342.5084,,576.1079
County,Alabama : Butler,1,Butler,1013,All,All,All,4 to 5,0.2659,10870.802,9768.6154,0.0924,875.1323
County,Alabama : Butler,1,Butler,1013,All,All,All,6+,0.2029,28817.0202,26038.1339,0.2204,2194.1748
County,Alabama : Calhoun,1,Calhoun,1015,All,All,All,0 to 1,0.2471,1850.0976,1634.7892,,266.9723
County,Alabama : Calhoun,1,Calhoun,1015,All,All,All,2 to 3,0.27,5597.0242,4965.4255,0.071,464.1359
County,Alabama : Calhoun,1,Calhoun,1015,All,All,All,4 to 5,0.2541,10017.6249,8856.6125,0.0982,706.7941
County,Alabama : Calhoun,1,Calhoun,1015,All,All,All,6+,0.2288,28487.7373,25068.5336,0.2306,1815.4173
County,Alabama : Chambers,1,Chambers,1017,All,All,All,0 to 1,0.2582,1738.3293,1557.2425,,280.0503
County,Alabama : Chambers,1,Chambers,1017,All,All,All,2 to 3,0.3066,4678.3535,4320.1168,,488.0763
County,Alabama : Chambers,1,Chambers,1017,All,All,All,4 to 5,0.2432,8882.7767,7997.074,0.0926,835.0033
County,Alabama : Chambers,1,Chambers,1017,All,All,All,6+,0.192,25202.1805,23135.0455,0.235,1832.4873
County,Alabama : Cherokee,1,Cherokee,1019,All,All,All,0 to 1,0.2561,2146.8325,1967.6693,0.0,225.4386
County,Alabama : Cherokee,1,Cherokee,1019,All,All,All,2 to 3,0.2707,4874.0542,4515.9442,,377.5934
County,Alabama : Cherokee,1,Cherokee,1019,All,All,All,4 to 5,0.2507,8675.1724,8077.9807,0.0996,636.2007
County,Alabama : Cherokee,1,Cherokee,1019,All,All,All,6+,0.2226,25755.3968,23948.8751,0.1963,1620.5853
County,Alabama : Chilton,1,Chilton,1021,All,All,All,0 to 1,0.2528,2235.405,1989.046,,216.971
County,Alabama : Chilton,1,Chilton,1021,All,All,All,2 to 3,0.2612,5996.1619,5476.3269,,374.2204
County,Alabama : Chilton,1,Chilton,1021,All,All,All,4 to 5,0.2536,10845.2931,9936.8354,0.1727,807.2805
County,Alabama : Chilton,1,Chilton,1021,All,All,All,6+,0.2324,27524.0169,25279.7509,0.2136,1711.4486
County,Alabama : Choctaw,1,Choctaw,1023,All,All,All,0 to 1,0.2225,2243.7012,2011.3425,0.0,260.2941
County,Alabama : Choctaw,1,Choctaw,1023,All,All,All,2 to 3,0.3151,4929.9091,4436.3502,,493.2503
County,Alabama : Choctaw,1,Choctaw,1023,All,All,All,4 to 5,0.2592,10483.0567,9584.4646,,770.202
County,Alabama : Choctaw,1,Choctaw,1023,All,All,All,6+,0.2032,31488.6066,28217.5896,0.2074,2180.3543
County,Alabama : Clarke,1,Clarke,1025,All,All,All,0 to 1,0.3271,2232.8555,2006.5861,,288.9831
County,Alabama : Clarke,1,Clarke,1025,All,All,All,2 to 3,0.3013,6248.4281,5684.6594,0.1007,543.6983
County,Alabama : Clarke,1,Clarke,1025,All,All,All,4 to 5,0.2184,11576.4813,10420.0958,0.1343,958.1218
County,Alabama : Clarke,1,Clarke,1025,All,All,All,6+,0.1533,29838.9844,27119.6889,0.2298,1889.6926
County,Alabama : Clay,1,Clay,1027,All,All,All,0 to 1,0.2612,1616.2494,1428.4797,0.0,228.1481
County,Alabama : Clay,1,Clay,1027,All,All,All,2 to 3,0.2864,4999.2881,4429.9135,,431.0811
County,Alabama : Clay,1,Clay,1027,All,All,All,4 to 5,0.2562,8256.9128,7379.0016,0.1,726.5861
County,Alabama : Clay,1,Clay,1027,All,All,All,6+,0.1962,27685.0429,25784.4298,0.1945,1863.9053
County,Alabama : Cleburne,1,Cleburne,1029,All,All,All,0 to 1,0.2665,1978.2031,1797.605,,226.4151
County,Alabama : Cleburne,1,Cleburne,1029,All,All,All,2 to 3,0.2824,6041.9751,5411.0575,,473.9726
County,Alabama : Cleburne,1,Cleburne,1029,All,All,All,4 to 5,0.2507,9003.181,8194.9549,0.1367,774.6914
County,Alabama : Cleburne,1,Cleburne,1029,All,All,All,6+,0.2004,29494.7598,26415.5404,0.2326,1903.4749
County,Alabama : Coffee,1,Coffee,1031,All,All,All,0 to 1,0.2217,2176.9362,1993.1197,0.0,282.0225
County,Alabama : Coffee,1,Coffee,1031,All,All,All,2 to 3,0.2887,5544.4803,4982.3312,,475.8412
County,Alabama : Coffee,1,Coffee,1031,All,All,All,4 to 5,0.2815,9255.6079,8207.9119,0.0814,742.0354
County,Alabama : Coffee,1,Coffee,1031,All,All,All,6+,0.2081,26077.4877,23125.7464,0.2075,2048.474
County,Alabama : Colbert,1,Colbert,1033,All,All,All,0 to 1,0.2142,2379.0257,2081.0496,,344.5572
County,Alabama : Colbert,1,Colbert,1033,All,All,All,2 to 3,0.3089,5315.8536,4673.6476,0.051,558.3626
County,Alabama : Colbert,1,Colbert,1033,All,All,All,4 to 5,0.2671,10274.7189,8931.1033,0.1342,889.7929
County,Alabama : Colbert,1,Colbert,1033,All,All,All,6+,0.2098,26475.6402,22734.6367,0.2125,1927.9661
County,Alabama : Conecuh,1,Conecuh,1035,All,All,All,0 to 1,0.2216,1700.9505,1558.8256,0.0,309.4406
County,Alabama : Conecuh,1,Conecuh,1035,All,All,All,2 to 3,0.2914,5540.107,5168.411,,545.2128
County,Alabama : Conecuh,1,Conecuh,1035,All,All,All,4 to 5,0.2735,9289.1231,8585.9847,0.1144,977.3371
County,Alabama : Conecuh,1,Conecuh,1035,All,All,All,6+,0.2135,25663.3168,23638.2418,0.1944,1932.8494
County,Alabama : Coosa,1,Coosa,1037,All,All,All,0 to 1,0.2833,2165.6156,2173.2532,,348.1625
County,Alabama : Coosa,1,Coosa,1037,All,All,All,2 to 3,0.2729,6074.5315,5510.7124,,644.5783
County,Alabama : Coosa,1,Coosa,1037,All,All,All,4 to 5,0.2537,12778.3789,11429.8326,0.2183,876.8898
County,Alabama : Coosa,1,Coosa,1037,All,All,All,6+,0.1901,22292.4712,20531.4453,0.1818,1925.072
County,Alabama : Covington,1,Covington,1039,All,All,All,0 to 1,0.2066,2487.8272,2232.626,,365.285
County,Alabama : Covington,1,Covington,1039,All,All,All,2 to 3,0.2725,5414.3558,4871.0217,0.064,594.5017
County,Alabama : Covington,1,Covington,1039,All,All,All,4 to 5,0.2679,9886.438,8919.0931,0.1105,893.6064
County,Alabama : Covington,1,Covington,1039,All,All,All,6+,0.253,26815.0421,23670.4728,0.2034,2388.1544
County,Alabama : Crenshaw,1,Crenshaw,1041,All,All,All,0 to 1,0.2582,1628.775,1395.5947,0.0,199.637
County,Alabama : Crenshaw,1,Crenshaw,1041,All,All,All,2 to 3,0.2755,4565.9563,4078.0679,,566.3265
County,Alabama : Crenshaw,1,Crenshaw,1041,All,All,All,4 to 5,0.2535,10071.5706,9077.8295,,911.2754
County,Alabama : Crenshaw,1,Crenshaw,1041,All,All,All,6+,0.2127,25669.3798,23351.5393,0.1667,2255.5066
County,Alabama : Cullman,1,Cullman,1043,All,All,All,0 to 1,0.2539,2203.7743,2023.4405,,176.5296
County,Alabama : Cullman,1,Cullman,1043,All,All,All,2 to 3,0.2931,5187.5804,4822.6438,0.0647,360.556
County,Alabama : Cullman,1,Cullman,1043,All,All,All,4 to 5,0.2411,10541.0486,9927.0402,0.1039,606.6901
County,Alabama : Cullman,1,Cullman,1043,All,All,All,6+,0.2119,26613.2393,25383.5919,0.2134,1619.391
County,Alabama : Dale,1,Dale,1045,All,All,All,0 to 1,0.2406,1914.9904,1684.4512,0.0,329.8209
County,Alabama : Dale,1,Dale,1045,All,All,All,2 to 3,0.277,5326.7718,4722.2076,0.0976,553.7757
County,Alabama : Dale,1,Dale,1045,All,All,All,4 to 5,0.262,9776.7988,8800.2124,0.1317,890.6628
County,Alabama : Dale,1,Dale,1045,All,All,All,6+,0.2203,28272.1788,25012.1914,0.2103,2084.58
County,Alabama : Dallas,1,Dallas,1047,All,All,All,0 to 1,0.2678,1353.7828,1219.0621,0.0,270.2206
County,Alabama : Dallas,1,Dallas,1047,All,All,All,2 to 3,0.2799,5249.6709,4898.7604,0.1173,556.8581
County,Alabama : Dallas,1,Dallas,1047,All,All,All,4 to 5,0.2537,10013.0842,9231.4399,0.1279,864.1656
County,Alabama : Dallas,1,Dallas,1047,All,All,All,6+,0.1987,29061.0781,27356.4784,0.2225,2134.5995
County,Alabama : DeKalb,1,DeKalb,1049,All,All,All,0 to 1,0.2563,2221.1517,1967.2484,,213.1519
County,Alabama : DeKalb,1,DeKalb,1049,All,All,All,2 to 3,0.2902,4995.1608,4509.2358,0.0485,414.3573
County,Alabama : DeKalb,1,DeKalb,1049,All,All,All,4 to 5,0.2546,9865.3133,8978.7986,0.124,735.5403
County,Alabama : DeKalb,1,DeKalb,1049,All,All,All,6+,0.1989,25002.147,22743.0166,0.2061,1770.0925
County,Alabama : Elmore,1,Elmore,1051,All,All,All,0 to 1,0.288,2233.478,1981.2818,,223.2704
County,Alabama : Elmore,1,Elmore,1051,All,All,All,2 to 3,0.2933,5882.8854,5284.577,0.0823,409.4944
County,Alabama : Elmore,1,Elmore,1051,All,All,All,4 to 5,0.2338,10715.4913,9737.1593,0.1201,721.0654
County,Alabama : Elmore,1,Elmore,1051,All,All,All,6+,0.1849,27908.0786,25261.1926,0.2185,1905.0827
County,Alabama : Escambia,1,Escambia,1053,All,All,All,0 to 1,0.2672,2073.0083,1876.9682,,266.9433
County,Alabama : Escambia,1,Escambia,1053,All,All,All,2 to 3,0.2868,5458.0004,4907.5912,,563.7887
County,Alabama : Escambia,1,Escambia,1053,All,All,All,4 to 5,0.2421,11118.1731,10198.3056,0.1286,1098.4733
County,Alabama : Escambia,1,Escambia,1053,All,All,All,6+,0.2038,30547.4221,27994.6285,0.2408,2417.0444
County,Alabama : Etowah,1,Etowah,1055,All,All,All,0 to 1,0.2425,2058.5173,1830.4984,,230.1184
County,Alabama : Etowah,1,Etowah,1055,All,All,All,2 to 3,0.2597,5583.8803,4992.4545,0.0625,417.0616
County,Alabama : Etowah,1,Etowah,1055,All,All,All,4 to 5,0.2418,10320.8145,9139.4405,0.0883,652.9977
County,Alabama : Etowah,1,Etowah,1055,All,All,All,6+,0.256,31104.1314,27347.4595,0.248,1829.594
County,Alabama : Fayette,1,Fayette,1057,All,All,All,0 to 1,0.2295,1675.6555,1435.8723,0.0,275.2525
County,Alabama : Fayette,1,Fayette,1057,All,All,All,2 to 3,0.2605,4600.8216,4242.4533,,620.6897
County,Alabama : Fayette,1,Fayette,1057,All,All,All,4 to 5,0.2625,9248.2238,8628.9949,0.0704,890.7285
County,Alabama : Fayette,1,Fayette,1057,All,All,All,6+,0.2475,26671.4646,24752.714,0.2072,1971.897
County,Alabama : Franklin,1,Franklin,1059,All,All,All,0 to 1,0.237,1834.4824,1592.3953,,269.6356
