Beneficiary_Geographic_Level,Beneficiary_Geographic_Description,Beneficiary_Geographic_Code,Beneficiary_Age_Level,Beneficiary_Demographic_Level,Beneficiary_Demographic_Description,Beneficiary_Multiple_Chronic_Condition_Group,Prevalence,Total_Medicare_Standardized_Per_Capita_Spending,Total_Medicare_Per_Capita_Spending,Hospital_Readmission_Rate,"Emergency_Room_Visits_per_1,000_Beneficiaries"
State,Alabama,01,65+,All,All,0 to 1,0.2318,1999.566,1806.2546,0.0464,127.2703
State,Alabama,01,65+,All,All,2 to 3,0.2911,5198.6566,4738.4133,0.0589,307.573
State,Alabama,01,65+,All,All,4 to 5,0.2604,9896.6809,9017.293,0.0936,576.8055
State,Alabama,01,65+,All,All,6+,0.2168,27177.0547,24715.7787,0.2071,1594.5694
State,Alabama,01,65+,Dual Status,Medicare Only,0 to 1,0.2473,1982.6565,1790.6022,0.0468,117.0981
State,Alabama,01,65+,Dual Status,Medicare Only,2 to 3,0.3028,5113.1152,4665.4711,0.0586,283.4593
State,Alabama,01,65+,Dual Status,Medicare Only,4 to 5,0.2578,9650.4733,8806.6521,0.0908,534.1024
State,Alabama,01,65+,Dual Status,Medicare Only,6+,0.1921,26061.123,23776.419,0.2038,1473.4968
State,Alabama,01,65+,Dual Status,Medicare and Medicaid,2 to 3,0.2236,5864.6106,5306.2806,0.0605,495.302
State,Alabama,01,65+,Dual Status,Medicare and Medicaid,4 to 5,0.2754,11220.9652,10150.2739,0.107,806.4938
State,Alabama,01,65+,Dual Status,Medicare and Medicaid,6+,0.3584,30614.9128,27609.6704,0.2157,1967.5583
State,Alabama,01,<65,All,All,0 to 1,0.3656,2291.9199,2062.6122,0.0713,442.8174
State,Alabama,01,<65,All,All,2 to 3,0.275,6797.5243,6129.216,0.1238,917.4882
State,Alabama,01,<65,All,All,4 to 5,0.206,12484.1486,11327.1898,0.1542,1360.4128
State,Alabama,01,<65,All,All,6+,0.1534,31860.1565,29234.3572,0.2723,3092.489
State,Alabama,01,<65,Dual Status,Medicare Only,0 to 1,0.4002,2145.7941,1869.2132,0.0629,308.2984
State,Alabama,01,<65,Dual Status,Medicare Only,2 to 3,0.2753,6406.257,5524.9661,0.0854,646.0019
State,Alabama,01,<65,Dual Status,Medicare Only,4 to 5,0.1988,11732.8477,10291.7263,0.1381,986.101
State,Alabama,01,<65,Dual Status,Medicare Only,6+,0.1257,29041.5545,26114.589,0.2473,2251.0359
State,Alabama,01,<65,Dual Status,Medicare and Medicaid,0 to 1,0.3273,2489.371,2323.9408,0.077,624.5849
State,Alabama,01,<65,Dual Status,Medicare and Medicaid,2 to 3,0.2746,7231.0408,6798.7131,0.1557,1218.2898
State,Alabama,01,<65,Dual Status,Medicare and Medicaid,4 to 5,0.214,13255.315,12390.0326,0.1678,1744.622
State,Alabama,01,<65,Dual Status,Medicare and Medicaid,6+,0.184,33987.8839,31589.4312,0.2874,3727.6914
State,Alabama,01,All,All,All,0 to 1,0.2621,2091.9398,1887.2548,0.059,226.9723
State,Alabama,01,All,All,All,2 to 3,0.2874,5545.1296,5039.7988,0.0814,439.741
State,Alabama,01,All,All,All,4 to 5,0.2481,10383.4301,9451.8262,0.1098,724.2161
State,Alabama,01,All,All,All,6+,0.2024,27980.792,25491.2797,0.2212,1851.6498
State,Alabama,01,All,Dual Status,Medicare Only,0 to 1,0.2707,2019.5355,1808.373,0.0519,160.3209
State,Alabama,01,All,Dual Status,Medicare Only,2 to 3,0.2986,5295.3941,4786.6239,0.0644,334.5627
State,Alabama,01,All,Dual Status,Medicare Only,4 to 5,0.2487,9904.8965,8988.0975,0.0987,589.3273
State,Alabama,01,All,Dual Status,Medicare Only,6+,0.182,26375.8172,24023.2989,0.2093,1555.5947
State,Alabama,01,All,Dual Status,Medicare and Medicaid,0 to 1,0.232,2387.5368,2209.2966,0.0717,499.0827
State,Alabama,01,All,Dual Status,Medicare and Medicaid,2 to 3,0.2483,6596.3636,6105.5106,0.1265,882.4776
State,Alabama,01,All,Dual Status,Medicare and Medicaid,4 to 5,0.2457,12078.9502,11094.8899,0.1394,1202.1484
State,Alabama,01,All,Dual Status,Medicare and Medicaid,6+,0.274,31711.5715,28903.6154,0.2435,2539.8328
State,Alabama,01,65+,Sex,Female,0 to 1,0.2144,2254.0676,2032.9522,0.0473,129.3984
State,Alabama,01,65+,Sex,Female,2 to 3,0.3046,5233.7417,4769.1324,0.0578,318.2405
State,Alabama,01,65+,Sex,Female,4 to 5,0.2625,9798.3069,8917.9441,0.0879,603.9966
State,Alabama,01,65+,Sex,Female,6+,0.2184,26839.0326,24315.1108,0.2008,1649.8767
State,Alabama,01,<65,Sex,Female,0 to 1,0.3113,2711.163,2392.6795,0.0642,528.6887
State,Alabama,01,<65,Sex,Female,2 to 3,0.2948,6896.7958,6162.801,0.1236,996.2094
State,Alabama,01,<65,Sex,Female,4 to 5,0.224,11899.2634,10754.5057,0.1452,1455.5829
State,Alabama,01,<65,Sex,Female,6+,0.17,29755.2142,27266.1391,0.2584,3121.938
State,Alabama,01,All,Sex,Female,0 to 1,0.2342,2378.2311,2130.667,0.0559,237.8599
State,Alabama,01,All,Sex,Female,2 to 3,0.3026,5564.8259,5046.5867,0.0793,453.2119
State,Alabama,01,All,Sex,Female,4 to 5,0.2546,10176.0563,9248.1556,0.102,757.1107
State,Alabama,01,All,Sex,Female,6+,0.2085,27324.8514,24806.7348,0.2123,1895.1135
State,Alabama,01,65+,Sex,Male,0 to 1,0.2543,1720.239,1557.4437,0.0451,124.9346
State,Alabama,01,65+,Sex,Male,2 to 3,0.2734,5147.7749,4693.8634,0.0604,292.1027
State,Alabama,01,65+,Sex,Male,4 to 5,0.2576,10027.1601,9149.0654,0.101,540.7403
State,Alabama,01,65+,Sex,Male,6+,0.2146,27624.814,25246.5216,0.2156,1521.3068
State,Alabama,01,<65,Sex,Male,0 to 1,0.4191,1985.249,1821.1722,0.0806,380.0036
State,Alabama,01,<65,Sex,Male,2 to 3,0.2555,6684.7687,6091.0691,0.1241,828.0743
State,Alabama,01,<65,Sex,Male,4 to 5,0.1883,13169.1045,11997.8571,0.1634,1248.9597
State,Alabama,01,<65,Sex,Male,6+,0.137,34430.6261,31637.8648,0.2873,3056.527
State,Alabama,01,All,Sex,Male,0 to 1,0.2961,1815.3239,1652.0688,0.0631,216.4527
State,Alabama,01,All,Sex,Male,2 to 3,0.2689,5518.0572,5030.4689,0.0841,421.2254
State,Alabama,01,All,Sex,Male,4 to 5,0.24,10652.0783,9715.6769,0.1193,681.6019
State,Alabama,01,All,Sex,Male,6+,0.195,28837.5845,26385.4352,0.2327,1794.8773
State,Alaska,02,65+,All,All,0 to 1,0.4805,1686.6618,2046.1829,0.0459,126.9652
State,Alaska,02,65+,All,All,2 to 3,0.2768,5653.3783,7331.494,0.0641,388.1725
